Language,Label_Type,F1_Macro,F1_Micro,F1_Samples,Total_Labels,Total_Files
BG,narratives,0.1768819683771837,0.2345679012345679,0.22032776747062463,22,35
BG,subnarratives,0.06004189177530855,0.08680555555555555,0.0818117388030374,94,35
EN,narratives,0.22353542200740842,0.2631578947368421,0.24083139083139077,22,41
EN,subnarratives,0.08512765589260936,0.10773899848254932,0.10446643742491335,94,41
HI,narratives,0.1585372780452872,0.2118380062305296,0.21036947179804322,22,35
HI,subnarratives,0.06186926881891848,0.081374321880651,0.08565640208095937,95,35
PT,narratives,0.17743736785757158,0.2948717948717949,0.28172732029874886,22,35
PT,subnarratives,0.06731524586550319,0.11310084825636192,0.11172408958399127,91,35
RU,narratives,0.16344815029025556,0.3026315789473684,0.2842357295482295,20,32
RU,subnarratives,0.05252980633618457,0.10465116279069768,0.10190021558922151,87,32
