Language,Label_Type,F1_Macro,F1_Micro,F1_Samples,Total_Labels,Total_Files
BG,narratives,0.21226974084116945,0.3270440251572327,0.31887493458922034,21,35
BG,subnarratives,0.07963573223313483,0.1504424778761062,0.1891699695459094,77,35
EN,narratives,0.20687862345616354,0.31413612565445026,0.31767676767676767,22,41
EN,subnarratives,0.10068140193140192,0.17355371900826447,0.22655569462916222,80,41
HI,narratives,0.09953314659197013,0.140625,0.10879818594104308,20,35
HI,subnarratives,0.031614463967405144,0.06015037593984962,0.056716322892793485,77,35
PT,narratives,0.22669552669552667,0.328125,0.25258503401360544,16,35
PT,subnarratives,0.10382978508284031,0.20454545454545456,0.1411864475884821,57,35
RU,narratives,0.16694866498788066,0.34532374100719426,0.33035714285714285,12,32
RU,subnarratives,0.09483086163758433,0.16938110749185667,0.16928802916854385,42,32
