config,model,experiment_id,num_narrative_agents,num_subnarrative_agents,aggregation,validation,retrieval,total_api_calls,total_cost_usd,total_latency_sec,avg_latency_sec,avg_cost_usd,avg_api_calls,total_documents,f1_samples
run_5_config,deepseek-chat,actor_critic_deepseek_hi_t00,1,1,union,True,False,35,0.07350000000000001,510.2357584000569,14.578164525715913,0.0021000000000000003,1.0,35,
actor_critic_deepseek_pt_t00,deepseek-chat,actor_critic_deepseek_pt_t00,1,1,union,True,False,175,0.07350000000000001,220.635201,6.3038628857142855,0.0021000000000000003,5.0,35,0.2158
run_1_config,deepseek-chat,actor_critic_deepseek_pt_t00,1,1,union,True,False,35,0.07350000000000001,214.31925390008828,6.123407254288237,0.0021000000000000003,1.0,35,
run_2_config,deepseek-chat,actor_critic_deepseek_pt_t00,1,1,union,True,False,35,0.07350000000000001,176.67774459999055,5.04793555999973,0.0021000000000000003,1.0,35,
run_3_config,deepseek-chat,actor_critic_deepseek_pt_t00,1,1,union,True,False,35,0.07350000000000001,177.7321198000572,5.07806056571592,0.0021000000000000003,1.0,35,
run_4_config,deepseek-chat,actor_critic_deepseek_pt_t00,1,1,union,True,False,35,0.07350000000000001,203.9391026999802,5.82683150571372,0.0021000000000000003,1.0,35,
run_5_config,deepseek-chat,actor_critic_deepseek_pt_t00,1,1,union,True,False,35,0.07350000000000001,224.2927522999236,6.408364351426388,0.0021000000000000003,1.0,35,
actor_critic_deepseek_ru_t00,deepseek-chat,actor_critic_deepseek_ru_t00,1,1,union,True,False,160,0.06720000000000001,266.650244,8.332820125,0.0021000000000000003,5.0,32,0.3211
run_1_config,deepseek-chat,actor_critic_deepseek_ru_t00,1,1,union,True,False,32,0.0672,259.7771938999649,8.118037309373904,0.0021,1.0,32,
run_2_config,deepseek-chat,actor_critic_deepseek_ru_t00,1,1,union,True,False,32,0.0672,292.6483742999844,9.145261696874513,0.0021,1.0,32,
run_3_config,deepseek-chat,actor_critic_deepseek_ru_t00,1,1,union,True,False,32,0.0672,272.6340646999888,8.51981452187465,0.0021,1.0,32,
run_4_config,deepseek-chat,actor_critic_deepseek_ru_t00,1,1,union,True,False,32,0.0672,259.18838860001415,8.099637143750442,0.0021,1.0,32,
