Language,Label_Type,F1_Macro,F1_Micro,F1_Samples,Total_Labels,Total_Files
BG,narratives,0.20930541532145808,0.32085561497326204,0.3000540729112158,22,35
BG,subnarratives,0.07650536314896177,0.137221269296741,0.15150214323762007,85,35
EN,narratives,0.21202533354939773,0.3119266055045872,0.31029634322317245,22,41
EN,subnarratives,0.10189000036483037,0.1566068515497553,0.19815534434778564,82,41
HI,narratives,0.16716337583984642,0.20253164556962025,0.16811791383219957,20,35
HI,subnarratives,0.06096593108788231,0.08888888888888889,0.09424445809538977,82,35
PT,narratives,0.2430193261280495,0.4,0.33982683982683987,17,35
PT,subnarratives,0.08508981060468475,0.18686868686868688,0.15931426711532076,69,35
RU,narratives,0.1703458538587849,0.33695652173913043,0.3324021464646465,16,32
RU,subnarratives,0.06334365330318059,0.1440677966101695,0.16813054397457217,67,32
